,case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
0,CEL-87788-19,11/18/2020 0:31:41,Sonia Anwar-Ali,Toronto,1,0,0,0,0,0,Payment plan,88.0,1398.79,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,1,0,1,1,1,-1,-1,1,0,1,0,0,0,"['L2', 'N8']",0,0.0
1,CEL-90549-19,11/18/2020 19:26:30,Shelby Whittick,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,2100.0,2100.0,0,10500.0,7.0,0,0,0,1,1,-1,1,0,0,0,0,0,1,1,[],0,0.5
2,TEL-94478-18,12/24/2020 9:19:21,Ruth Carey,Toronto,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1476.53,0,974.59,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
3,TEL-94493-18,12/24/2020 6:13:17,Ruth Carey,Toronto,1,1,0,1,0,0,Postponement of eviction,74.0,1595.9445741324917,1089.32,0,1094.17,3.0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,[],0,1.0
4,CEL-72994-18,11/19/2020 17:02:37,Avril Cardoso,Mississauga,1,0,1,0,0,0,No relief,23.0,1595.9445741324917,1365.9816966067865,0,5550.0,3.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,[],0,0.5
5,CEL-73021-18,11/19/2020 17:14:22,Avril Cardoso,Mississauga,1,0,0,0,0,0,No relief,45.0,1850.0,1850.0,0,27750.0,15.0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
6,CEL-73052-18,11/19/2020 17:26:00,Avril Cardoso,Mississauga,1,0,0,1,0,0,No relief,3.0,1800.0,1800.0,0,3136.51,2.0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.0
7,CEL-73107-18-RV,11/19/2020 18:31:42,Karen Wallace,Mississauga,1,1,0,1,0,1,Postponement of eviction,7.0,1500.0,1500.0,0,2500.0,3.0,0,0,0,0,0,0,1,-1,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
8,CEL-73197-18,11/19/2020 18:43:01,Tiisetso Russell,Mississauga,0,1,0,1,0,0,No relief,3.0,1595.9445741324917,1000.0,0,3000.0,3.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,"['L1', 'L2', 'T2', 'T6']",0,0.0
9,CEL-73575-18,11/19/2020 19:07:50,Avril Cardoso,Mississauga,1,1,0,0,0,0,No relief,14.0,1595.9445741324917,1650.0,0,6985.73,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N8']",0,0.0
10,CEL-73640-18,11/19/2020 21:23:48,Avril Cardoso,Mississauga,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,6194.9,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'T1', 'T2', 'T6', 'N5']",0,0.0
11,CEL-73767-18,11/30/2020 21:23:51,Avril Cardoso,Barrie,0,1,0,0,0,0,No relief,6.306049004594181,1080.0,0.0,0,1445.0,65.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"['L2', 'L9', 'N5']",0,0.0
12,CEL-90549-19,11/21/2020 19:11:58,Shelby Whittick,Mississauga,1,1,0,1,0,1,No relief,6.306049004594181,2100.0,2100.0,0,10500.0,6.0,0,0,0,1,1,-1,1,0,0,0,0,0,1,1,[],0,0.5
13,TNL-10004-18,11/21/2020 19:21:16,Nancy Morris,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,2123.54,0,8494.16,3.0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,[],0,0.0
14,TNL-10206-18,11/21/2020 19:31:29,Debbie Mosaheb,Toronto,0,1,0,1,0,1,No relief,48.0,2000.0,2000.0,0,6000.0,3.0,0,1,1,0,1,-1,1,0,0,0,0,0,1,0,[],0,0.5
15,TNL-10272-18,11/21/2020 20:05:51,Debbie Mosaheb,Toronto,1,0,0,1,0,0,No relief,42.0,1868.1,1868.1,0,7447.4,4.0,0,0,1,0,0,1,-1,1,1,0,0,0,1,0,[],0,0.5
16,CEL-73963-18-RV,11/21/2020 20:34:14,Karen Wallace,Mississauga,0,1,0,1,0,0,Payment plan,34.0,1990.0,1365.9816966067865,1,4777.0,5.0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,"['L1', 'L4']",0,1.0
17,CEL-73985-18,11/21/2020 20:50:40,David Mungovan,Mississauga,0,1,0,1,0,0,No relief,15.0,650.0,500.0,0,1300.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['L1', 'T2']",0,0.0
18,CEL-74056-18,11/21/2020 21:09:18,Avril Cardoso,Mississauga,0,1,0,1,0,0,No relief,6.5,1756.5,1750.0,0,7382.5,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,[],0,0.5
19,TEL-87330-18,1/28/2021 20:19:35,Shelby Whittick,Toronto,1,1,0,1,0,0,No relief,59.0,1595.9445741324917,1300.0,0,5640.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
20,TEL-87339-18,1/28/2021 20:21:19,Ruth Carey,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1447.52,0,333.55,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
21,CEL-90549-19,11/22/2020 19:45:48,Shelby Whittick,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,2100.0,2100.0,0,10500.0,6.0,0,0,0,1,1,-1,1,-1,0,0,0,0,1,1,[],0,0.5
22,CEL-64556-17-RV,12/27/2020 20:14:47,Karen Wallace,Mississauga,0,1,0,1,0,0,No relief,27.0,650.0,650.0,0,4730.0,9.0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,['L1'],0,0.0
23,CEL-64707-17,1/6/2021 12:23:35,Tiisetso Russell,Mississauga,0,1,0,1,0,0,No relief,6.306049004594181,700.0,1365.9816966067865,0,2800.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,['L1'],0,0.0
24,TNL-95328-17,11/23/2020 20:37:29,Egya Sangmuah,Toronto,1,0,1,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1008.86,0,2066.27,6.306049004594181,1,0,0,0,0,0,0,-1,0,0,0,0,1,1,[],0,0.0
25,TNL-95937-17,11/23/2020 20:47:34,Dale Whitmore,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1111.8,0,1110.39,9.0,1,0,1,1,0,0,0,-1,0,0,0,0,0,0,['T6'],0,0.0
26,TNL-99287-17,11/24/2020 8:14:05,Neil Kaufman,Toronto,1,1,1,1,0,0,"No eviction granted, payment plan merely involved paying rent on time ",468.0,980.0,1365.9816966067865,0,0.0,16.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,"['L2', 'T2']",0,1.0
27,SWL-16867-18,11/26/2020 12:26:53,Kevin Lundy,London,0,1,0,0,0,0,No relief,6.306049004594181,900.0,900.0,0,1700.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
28,SWL-16931-18,11/26/2020 12:38:24,Carol McDermott,London,0,0,0,0,0,0,No relief,6.306049004594181,1065.75,1050.0,0,1827.25,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
29,SWL-17141-18,11/26/2020 12:52:49,Melanie Love,London,0,1,0,1,0,0,Postponement of eviction,32.0,925.0,1365.9816966067865,0,3000.0,6.306049004594181,0,1,0,0,1,-1,1,0,0,0,0,0,1,0,[],0,0.0
30,SWL-17145-18,11/26/2020 13:24:29,Melanie Love,Waterloo,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,500.0,1365.9816966067865,0,3500.0,7.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,[],1,0.0
31,SWL-17145-18,11/26/2020 13:29:30,Melanie Love,Waterloo,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,500.0,1365.9816966067865,0,3413.68,7.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,[],1,0.0
32, SWL-17348-18,11/26/2020 13:40:11,Kevin Lundy,London,1,0,0,0,0,0,No relief,6.306049004594181,869.49,854.57,0,1073.61,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
33,SWL-17590-18,11/26/2020 13:49:26,Carol McDermott,London,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,761.0,750.0,0,1715.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
34,TEL-89487-18,1/14/2021 14:35:46,Shelby Whittick,Toronto,1,0,0,0,0,0,No relief,151.5,1595.9445741324917,1073.74,0,3221.06,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
35,TNL-99830-17,11/27/2020 20:53:20,Sylvia Watson,Toronto,1,0,0,1,0,0,No relief,72.0,1595.9445741324917,1536.91,0,3080.73,3.0,0,1,0,0,0,0,0,-1,1,0,1,0,1,0,['L2'],0,1.0
36,TNL-99928-17,11/27/2020 21:03:21,Neil Kaufman,Newmarket,0,1,0,1,0,0,Postponement of eviction,84.0,1595.9445741324917,1000.0,0,8500.0,10.0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,[],0,0.5
37,TNT-05236-18,11/27/2020 21:38:24,Harry Cho,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1300.0,0,2652.54,3.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,['T2'],0,0.0
38,TSL-00273-18,11/27/2020 21:53:14,David Lee,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,700.0,1365.9816966067865,0,2100.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
39,CEL-74078-18-RV,11/30/2020 14:10:45,Karen Wallace,Mississauga,1,0,0,1,0,0,No relief,108.0,800.0,1365.9816966067865,0,20800.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['L1'],1,0.0
40,CEL-74519-18,11/30/2020 14:26:41,David Mungovan,Mississauga,0,1,1,1,0,0,Postponement of eviction,16.0,1595.9445741324917,1365.9816966067865,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['N8'],0,0.0
41,CEL-74645-18,11/30/2020 21:42:21,Lisa Del Vecchio,Barrie,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,2000.0,1365.9816966067865,0,6000.0,3.0,0,0,0,1,0,1,0,-1,0,0,1,0,1,0,[],0,0.0
42,CEL-75210-18,11/30/2020 21:57:50,Avril Cardoso,Mississauga,1,0,0,1,0,0,Postponement of eviction,8.0,1200.0,1200.0,0,9600.0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
43,CEL-75340-18,11/30/2020 22:22:25,Avril Cardoso,Mississauga,0,1,0,1,0,0,"Other: Standard eviction order but if arrears are paid, tenant can stay as long as all future payments for 1 year are paid on time (subject to s. 78)",31.0,1100.0,1100.0,0,2320.0,2.0,0,0,0,0,1,1,0,-1,0,0,0,0,1,0,"['L1', 'L2', 'N8']",0,0.0
44,CEL-75636-18,12/1/2020 15:43:40,Alex Brkic,Mississauga,1,1,0,0,0,0,No relief,24.0,1595.9445741324917,725.0,0,1120.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N7']",0,0.0
45,CEL-76112-18-RV,12/1/2020 15:57:05,Karen Wallace,Mississauga,0,1,0,1,0,1,Postponement of eviction,13.0,2400.0,2400.0,1,1643.2,5.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,"['L1', 'L2', 'N5']",0,0.0
46,SWL-17723-18,12/2/2020 20:24:29,Carol McDermott,London,1,0,0,0,0,0,No relief,6.306049004594181,1450.0,1450.0,0,2900.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,['L2'],0,0.0
47,SWL-18289-18,12/2/2020 20:35:06,Carol McDermott,Windsor,1,0,0,1,0,0,Postponement of eviction,6.306049004594181,900.0,1365.9816966067865,0,3775.0,5.0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,[],0,0.0
48,SWL-18712-18,12/2/2020 20:47:37,Melanie Love,London,1,0,0,0,0,0,No relief,10.0,2100.0,2100.0,0,2750.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['N8'],0,0.0
49,SWL-19968-18-SA,1/6/2021 10:20:48,Kevin Lundy,Stratford,1,1,0,1,0,0,No relief,6.306049004594181,900.0,900.0,0,2700.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L3']",0,0.0
50,SWL-20248-18   ,12/2/2020 21:16:55,Nathan Ferguson,London,1,0,0,1,0,0,Payment plan,120.0,453.0,355.0,0,445.0,7.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"['L1', 'L2']",0,1.0
51,TEL-01781-19,12/2/2020 22:57:56,Sonia Anwar-Ali,Toronto,1,0,0,1,0,1,Payment of current and past month by 20th of the current month; payment of rent on time for a year,108.0,1595.9445741324917,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,1,1,1,1,0,1,-1,1,1,0,0,1,0,['N8'],0,0.0
52,SWL-20341-18,12/3/2020 20:36:02,Kevin Lundy,Woodstock,1,0,0,0,0,0,No relief,6.306049004594181,500.0,1365.9816966067865,0,1338.29,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N7']",0,0.0
53,SWL-21921-18,12/3/2020 20:57:07,Jitewa Edu,London,0,1,0,1,0,0,No relief,6.306049004594181,710.0,710.0,0,1130.26,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
54,TEL-80518-17-RV,12/3/2020 21:04:18,Laura Hartslief,Whitby,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,1600.0,1365.9816966067865,0,33600.0,13.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[],0,0.0
55,TEL-81897-17,12/3/2020 21:16:57,Laura Hartslief,Toronto,1,1,1,1,0,0,No relief,6.306049004594181,512.5,1365.9816966067865,0,15375.0,27.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,[],0,0.0
56,TEL-81898-17,12/5/2020 0:28:16,Laura Hartslief,Lindsay,1,1,0,1,0,0,No relief,6.306049004594181,512.5,1365.9816966067865,0,15375.0,27.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,[],0,0.0
57,TEL-81899-17,12/5/2020 0:38:10,Laura Hartslief,Lindsay,1,1,0,1,0,0,No relief,6.306049004594181,512.5,1365.9816966067865,0,15375.0,27.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,[],0,0.0
58,TEL-84192-17,12/5/2020 0:46:05,Gobinder Randhawa,Toronto,1,0,0,1,0,0,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067865,0,818.99,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,1.0
59,TEL-84647-17,12/7/2020 19:41:28,Jim McMaster,Toronto,1,1,0,1,0,0,Payment plan,15.0,2500.0,1365.9816966067865,0,7700.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
60,TEL-84691-17-RV,12/7/2020 20:00:24,Shelby Whittick,Belleville,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067865,0,2063.0,9.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,[],0,0.0
61,TEL-85031-17,12/7/2020 20:08:46,Shelby Whittick,Toronto,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,9020.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,[],0,0.5
62,TEL-85218-17,12/7/2020 20:46:08,Shelby Whittick,Toronto,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1800.0,0,9646.31,7.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
63,TEL-85406-17   ,12/7/2020 20:59:44,Shelby Whittick,Whitby,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,695.0,0,2192.4,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
64,TEL-85406-17,12/8/2020 20:00:08,Shelby Whittick,Whitby,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,695.0,0,2192.4,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
65,TEL-85465-17-RV,12/8/2020 20:21:29,Ruth Carey,Belleville,0,1,0,1,0,0,Postponement of eviction,9.0,750.0,750.0,0,3750.0,4.0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,[],0,0.5
66,TEL-85893-17,12/8/2020 20:41:36,Shelby Whittick,Whitby,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1000.0,0,6000.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
67,TEL-86027-17,12/8/2020 20:48:05,Shelby Whittick,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,550.0,0,2683.48,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
68,CEL-76171-18,12/18/2020 21:29:13,Alex Brkic,Mississauga,1,1,0,1,0,0,Postponement of eviction,8.0,1290.0,1290.0,0,3870.0,3.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"['L1', 'L2', 'T2']",0,0.0
69,CEL-76435-18,12/18/2020 21:35:00,Avril Cardoso,Mississauga,0,1,0,0,0,0,No relief,66.0,1550.0,1550.0,0,18600.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
70,CEL-77001-18,12/18/2020 21:53:59,Alex Brkic,Mississauga,1,1,1,1,0,0,Postponement of eviction,30.0,1600.0,1600.0,1,1600.0,4.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"['L2', 'L9', 'N5']",0,0.0
71,CEL-77276-18,12/20/2020 14:25:47,Alex Brkic,Mississauga,0,1,0,0,0,0,No relief,4.0,1400.0,1400.0,0,4345.87,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
72,CEL-77276-18,1/4/2021 12:05:21,Alex Brkic,Mississauga,0,1,0,0,0,0,No relief,4.0,1400.0,1400.0,0,4345.87,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
73,CEL-77282-18-RV,12/20/2020 14:35:33,Renee Lang,Toronto,0,1,0,1,0,0,No relief,20.0,1780.0,1750.0,0,9730.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
74,CEL-77291-18,12/20/2020 14:49:49,Jitewa Edu,Mississauga,1,0,1,0,0,0,Payment plan,6.306049004594181,2500.0,1365.9816966067865,0,10000.0,6.0,1,0,0,1,1,1,0,-1,0,0,1,0,1,0,[],0,1.0
75,CEL-77313-18,12/22/2020 11:14:43,Jitewa Edu,Mississauga,1,1,0,1,0,0,Payment plan,6.306049004594181,3200.0,1365.9816966067865,0,4400.0,2.0,0,0,0,0,0,1,0,-1,0,0,0,0,1,0,[],0,1.0
76,CEL-77387-18,12/22/2020 11:26:09,Lisa Del Vecchio,Mississauga,1,0,0,1,0,0,Postponement of eviction,7.0,1600.0,1600.0,0,6082.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
77,CEL-77588-18,12/22/2020 11:39:22,Karen Wallace,Mississauga,1,1,1,1,0,0,Postponement of eviction but conditioned on the fact that all rent is paid on time for one year period,15.0,2350.0,2350.0,0,2350.0,1.0,0,0,0,0,1,1,0,-1,0,1,0,0,1,0,"['L1', 'L2', 'L8']",1,0.0
78,CEL-77598-18,12/22/2020 11:50:28,Roderick Flynn,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,12819.98,7.0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,0,"['L1', 'L2']",0,0.5
79,TSL-81051-17,12/22/2020 17:40:04,Renee Lang,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1104.5,1019.45,0,4767.67,12.0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,[],0,0.0
80,TSL-81884-17,12/22/2020 17:52:39,Jean-Paul Pilon,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,998.0,0,823.02,22.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,"['T2', 'T3']",0,0.0
81,TSL-82628-17-RV-HR,12/22/2020 18:07:26,Nancy Henderson,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,730.0,0,10950.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
82,TSL-86215-17,12/22/2020 18:24:14,Jean-Paul Pilon,Toronto,1,0,0,1,0,0,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067865,0,9176.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['L1'],0,0.0
83,CEL-77739-18,12/22/2020 19:31:29,Lisa Del Vecchio,Mississauga,1,0,0,1,0,0,Postponement of eviction,14.0,1350.0,1350.0,0,6750.0,6.0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,[],0,0.0
84,CEL-77833-18,12/22/2020 19:46:13,Jitewa Edu,Mississauga,0,1,0,1,0,0,No relief,5.0,1000.0,1000.0,0,3000.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"['L1', 'L2', 'N7']",0,0.0
85,CEL-77933-18,12/22/2020 20:11:21,Avril Cardoso,Mississauga,0,1,0,1,0,0,No relief,66.0,905.0,905.0,0,2715.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'T6']",0,0.0
86,CEL-78005-18-RV,12/22/2020 20:33:55,Avril Cardoso,Orangeville,0,1,0,1,0,0,No relief,108.0,1595.9445741324917,1100.0,0,5275.23,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.5
87,TEL-89489-18,1/14/2021 14:39:09,Shelby Whittick,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1125.63,0,766.03,4.0,1,0,0,1,0,-1,-1,0,0,0,1,0,1,0,"['L1', 'L2']",0,0.5
88,CEL-78138-18,12/23/2020 12:52:08,Lisa Del Vecchio,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,4600.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
89,TSL-86427-17-RV,12/23/2020 18:46:05,Nancy Henderson,Toronto,1,1,0,1,0,0,Payment plan,6.306049004594181,1595.9445741324917,500.0,0,980.0,8.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"['L1', 'L9']",0,1.0
90,TSL-87859-17,12/23/2020 19:00:33,Renee Lang,Toronto,1,1,1,1,0,0,Full relief,60.0,1198.76,1365.9816966067865,0,1198.76,1.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,"['T3', 'T5', 'T6']",1,0.0
91,CEL-78307-18,12/23/2020 19:21:40,Alex Brkic,Mississauga,0,1,0,1,0,0,Postponement of eviction,15.0,850.0,356.3,0,1700.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
92,CEL-78365-18,12/23/2020 19:35:15,Lisa Del Vecchio,Mississauga,1,1,0,1,0,0,Postponement of eviction,53.0,1595.9445741324917,2000.0,0,6764.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
93,CEL-78430-18,12/23/2020 19:47:40,Alex Brkic,Barrie,1,0,0,0,0,0,No relief,46.0,1595.9445741324917,1528.02,0,4407.12,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N6', 'N8']",0,0.0
94,CEL-78549-18,12/23/2020 19:59:45,Alex Brkic,Barrie,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1550.0,0,4709.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
95,TEL-89525-18,1/14/2021 14:44:26,Ruth Carey,Whitby ,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1950.0,0,4850.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L8']",0,0.0
96,TEL-89565-18,1/14/2021 14:51:54,Elana Rose,Whitby ,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1350.0,0,10478.55,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
97,TEL-89604-18,1/14/2021 14:56:52,Elana Rose,Whitby,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1050.0,0,5325.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
98,TEL-89637-18,1/14/2021 15:01:08,Elana Rose,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,854.12,0,966.67,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
99,TEL-89644-18,1/14/2021 15:03:49,Laura Hartslief,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1295.3,0,4982.52,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
100,TEL-94512-18,12/24/2020 6:25:32,Jim McMaster,Whitby,0,1,0,1,0,0,No relief; rent abatement due to maintenance repairs,6.306049004594181,1725.0,1365.9816966067865,0,8577.61,5.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,[],0,0.0
