,case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
189,TSL-90695-17,12/27/2020 16:57:01,Jean-Paul Pilon,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,995.0,0,588.82,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,[],0,0.0
190,TSL-90710-17-RV,12/27/2020 17:04:23,Renee Lang,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,869.41,0,4291.9,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],1,0.0
191,TEL-05698-19,12/27/2020 17:16:08,Sonia Anwar-Ali,Whitby,1,1,0,1,0,0,Postponement of eviction,60.0,1595.9445741324917,876.85,0,4817.72,12.0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,[],1,0.5
192,TSL-90715-17,12/27/2020 17:18:32,Roger Rodrigues,Toronto,1,0,1,0,0,0,No relief,96.0,1438.58,1275.0,1,55.02,18.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,[],1,0.0
193,TSL-90716-17,12/27/2020 17:29:56,David Lee,Toronto,1,0,0,1,0,0,Postponement of eviction,12.0,1260.0,1200.0,0,2129.92,1.0,1,0,0,1,0,-1,-1,0,0,1,1,0,0,0,"['T2', 'T6']",0,0.0
194,TSL-90721-17,12/27/2020 17:49:27,Roger Rodrigues,Toronto,1,0,0,1,0,0,Payment plan,6.306049004594181,1243.58,1365.9816966067865,1,329.16,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,[],1,0.0
195,TEL-05728-19,12/27/2020 17:55:37,Shelby Whittick,Whitby,1,0,0,0,0,0,No relief,6.306049004594181,1525.0,1525.0,0,7625.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
196,TSL-90833-17,12/27/2020 18:03:05,Roger Rodrigues,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1993.51,0,842.91,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,[],1,0.0
197,CEL-64707-17-RV,1/6/2021 12:25:18,Karen Wallace,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,700.0,700.0,0,2800.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'T2', 'T6']",0,0.0
198,CEL-64717-17,12/27/2020 20:13:45,Avril Cardoso,Mississauga,1,1,0,1,0,0,Eviction refused; Tenant pays arrears only,6.306049004594181,1595.9445741324917,1142.4,0,2331.42,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'L9']",0,0.0
199,CEL-64754-17,12/27/2020 20:28:36,Ruth Carey,Burlington,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,790.0,0,2370.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
200,CEL-65374-17,12/27/2020 20:47:21,Tiisetso Russell,Mississauga,1,1,1,0,0,1,Extended termination date,6.306049004594181,1329.0,92.87,0,10632.0,8.0,1,0,0,1,0,-1,1,0,0,0,0,0,1,1,[],0,0.5
201,CEL-65563-17,12/27/2020 20:56:56,Avril Cardoso,Bracebridge,1,1,1,1,0,0,Tenants already vacated rental unit. Tenants pay full amount owed.,6.306049004594181,1200.0,1200.0,0,7200.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
202,CEL-65659-17-RV,12/27/2020 21:12:15,Karen Wallace,Mississauga,1,1,1,1,0,0,Postponement of eviction,10.0,775.0,850.0,0,2325.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"['L1', 'L2']",1,0.0
203,CEL-65920-17,12/27/2020 21:32:01,Lisa Del Vecchio,Mississauga,1,1,1,1,0,0,No relief,6.306049004594181,2500.0,1365.9816966067865,1,25075.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'L8']",0,0.0
204,CEL-65976-17,12/27/2020 22:13:36,Alex Brkic,Barrie,0,1,0,1,0,1,Postponement of eviction,6.306049004594181,1595.9445741324917,550.0,0,2550.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,['L1'],0,0.0
205,HOL-02144-17/HOT-02146-17,12/28/2020 0:45:14,Ruth Carey,Toronto,1,1,1,0,0,0,payment of damages (not a rent dispute),22.0,1595.9445741324917,1365.9816966067865,0,0.0,6.306049004594181,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,[],0,0.0
